Date,Open,High,Low,Close,Adj Close,Volume
2022-07-13,280.600006,288.049988,280.019989,285.649994,282.131653,73939400
2022-07-14,282.989990,287.559998,279.799988,286.670013,283.139069,63741800
2022-07-15,289.730011,291.980011,288.079987,291.869995,288.275024,63818100
2022-07-18,294.720001,296.160004,288.200012,289.399994,285.835419,59519600
2022-07-19,293.109985,298.600006,291.470001,298.299988,294.625793,55172600
2022-07-20,298.730011,304.239990,297.929993,303.029999,299.297516,67769400
2022-07-21,303.500000,307.440002,300.779999,307.380005,303.593994,55049400
2022-07-22,306.429993,308.549988,300.119995,301.989990,298.270325,57127700
2022-07-25,302.019989,302.500000,298.220001,300.269989,296.571564,40582400
2022-07-26,298.529999,298.790009,293.540009,294.369995,290.744232,50074100
2022-07-27,299.040009,308.540009,298.459991,306.809998,303.030975,69304400
2022-07-28,306.589996,310.399994,302.750000,309.809998,305.994019,55139900
2022-07-29,311.390015,316.390015,309.929993,315.459991,311.574463,57501000
2022-08-01,313.649994,318.809998,312.529999,315.269989,311.386780,46358800
2022-08-02,312.920013,318.549988,311.839996,314.329987,310.458344,48676500
2022-08-03,316.049988,323.730011,315.989990,322.890015,318.912903,53735700
2022-08-04,322.970001,324.720001,320.769989,324.399994,320.404297,38973700
2022-08-05,319.190002,323.829987,318.390015,321.750000,317.786987,53894000
2022-08-08,322.690002,326.470001,319.209991,320.709991,316.759735,43878500
2022-08-09,318.769989,319.029999,315.420013,317.079987,313.174438,39764200
2022-08-10,324.589996,326.230011,322.059998,325.929993,321.915466,51459600
2022-08-11,328.309998,330.359985,323.359985,324.079987,320.088287,45897700
2022-08-12,326.179993,330.589996,325.100006,330.390015,326.320557,40928400
2022-08-15,329.420013,333.570007,329.399994,333.059998,328.957672,38266600
2022-08-16,332.059998,334.420013,329.160004,332.279999,328.187256,41186900
2022-08-17,329.070007,331.429993,326.359985,328.489990,324.443970,47842200
2022-08-18,328.440002,330.489990,326.790009,329.279999,325.224213,41937200
2022-08-19,326.170013,326.839996,322.079987,322.859985,318.883301,51770600
2022-08-22,318.500000,318.739990,313.529999,314.359985,310.488007,51098900
2022-08-23,314.119995,317.000000,313.329987,314.100006,310.231201,39497100
2022-08-24,313.609985,316.869995,312.989990,315.010010,311.130035,38057100
2022-08-25,316.829987,320.600006,315.760010,320.579987,316.631348,38098300
2022-08-26,320.279999,321.510010,307.350006,307.440002,303.653229,69047700
2022-08-29,304.619995,307.220001,303.279999,304.410004,300.660583,48321900
2022-08-30,306.100006,306.730011,298.440002,301.019989,297.312286,51184500
2022-08-31,303.989990,304.910004,299.160004,299.269989,295.583862,50044000
2022-09-01,296.720001,299.779999,292.950012,299.399994,295.712280,57990700
2022-09-02,302.339996,303.750000,293.519989,295.170013,291.534393,64666800
2022-09-06,295.660004,296.600006,290.869995,293.049988,289.440491,57005400
2022-09-07,293.540009,299.989990,293.269989,298.970001,295.287537,49260400
2022-09-08,296.850006,301.869995,295.450012,300.519989,296.818481,55649800
2022-09-09,302.829987,307.600006,300.519989,307.089996,303.307587,56125200
2022-09-12,308.500000,311.079987,308.179993,310.739990,306.912628,45905700
2022-09-13,301.799988,303.019989,292.790009,293.700012,290.082489,79562200
2022-09-14,294.869995,296.929993,293.059998,296.029999,292.383789,54907200
2022-09-15,294.070007,296.529999,289.459991,291.100006,287.514496,65299400
2022-09-16,287.720001,289.720001,285.619995,289.320007,285.756470,79920400
2022-09-19,286.100006,291.209991,286.040009,291.049988,287.981689,52613800
2022-09-20,288.489990,291.070007,286.380005,288.730011,285.686188,51271100
2022-09-21,289.589996,293.950012,283.420013,283.559998,280.570679,82931000
2022-09-22,282.000000,283.029999,278.820007,280.070007,277.117493,62757100
2022-09-23,277.549988,277.850006,272.019989,275.510010,272.605530,74815200
